OrderID,Product,OrderStatus,text,clean_text,Sentiment
ORD200021,Monitor,Delivered,I ordered a Monitor and the order was Delivered. Payment was made using Cash.,order monitor order deliver payment make use cash,Positive
ORD200023,Phone,Cancelled,I ordered a Phone and the order was Cancelled. Payment was made using Debit Card.,order phone order cancel payment make use debit card,Negative
ORD200024,Laptop,Delivered,I ordered a Laptop and the order was Delivered. Payment was made using Online.,order laptop order deliver payment make use online,Positive
ORD200025,Monitor,Delivered,I ordered a Monitor and the order was Delivered. Payment was made using Debit Card.,order monitor order deliver payment make use debit card,Positive
ORD200026,Laptop,Delivered,I ordered a Laptop and the order was Delivered. Payment was made using Online.,order laptop order deliver payment make use online,Positive
ORD200027,Printer,Shipped,I ordered a Printer and the order was Shipped. Payment was made using Online.,order printer order ship payment make use online,Positive
ORD200029,Desk,Delivered,I ordered a Desk and the order was Delivered. Payment was made using Credit Card.,order desk order deliver payment make use credit card,Positive
ORD200031,Chair,Returned,I ordered a Chair and the order was Returned. Payment was made using Debit Card.,order chair order return payment make use debit card,Negative
ORD200032,Tablet,Delivered,I ordered a Tablet and the order was Delivered. Payment was made using Cash.,order tablet order deliver payment make use cash,Positive
ORD200033,Chair,Cancelled,I ordered a Chair and the order was Cancelled. Payment was made using Online.,order chair order cancel payment make use online,Negative
ORD200035,Monitor,Shipped,I ordered a Monitor and the order was Shipped. Payment was made using Online.,order monitor order ship payment make use online,Positive
ORD200037,Laptop,Returned,I ordered a Laptop and the order was Returned. Payment was made using Cash.,order laptop order return payment make use cash,Negative
ORD200038,Laptop,Delivered,I ordered a Laptop and the order was Delivered. Payment was made using Debit Card.,order laptop order deliver payment make use debit card,Positive
ORD200039,Printer,Delivered,I ordered a Printer and the order was Delivered. Payment was made using Credit Card.,order printer order deliver payment make use credit card,Positive
ORD200040,Desk,Delivered,I ordered a Desk and the order was Delivered. Payment was made using Online.,order desk order deliver payment make use online,Positive
ORD200042,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Cash.,order printer order cancel payment make use cash,Negative
ORD200043,Chair,Cancelled,I ordered a Chair and the order was Cancelled. Payment was made using Online.,order chair order cancel payment make use online,Negative
ORD200044,Phone,Returned,I ordered a Phone and the order was Returned. Payment was made using Gift Card.,order phone order return payment make use gift card,Negative
ORD200045,Chair,Returned,I ordered a Chair and the order was Returned. Payment was made using Debit Card.,order chair order return payment make use debit card,Negative
ORD200047,Desk,Returned,I ordered a Desk and the order was Returned. Payment was made using Credit Card.,order desk order return payment make use credit card,Negative
ORD200048,Monitor,Shipped,I ordered a Monitor and the order was Shipped. Payment was made using Debit Card.,order monitor order ship payment make use debit card,Positive
ORD200049,Printer,Shipped,I ordered a Printer and the order was Shipped. Payment was made using Credit Card.,order printer order ship payment make use credit card,Positive
ORD200050,Tablet,Cancelled,I ordered a Tablet and the order was Cancelled. Payment was made using Online.,order tablet order cancel payment make use online,Negative
ORD200051,Tablet,Returned,I ordered a Tablet and the order was Returned. Payment was made using Cash.,order tablet order return payment make use cash,Negative
ORD200052,Tablet,Returned,I ordered a Tablet and the order was Returned. Payment was made using Online.,order tablet order return payment make use online,Negative
ORD200053,Phone,Returned,I ordered a Phone and the order was Returned. Payment was made using Online.,order phone order return payment make use online,Negative
ORD200055,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Online.,order printer order cancel payment make use online,Negative
ORD200056,Tablet,Cancelled,I ordered a Tablet and the order was Cancelled. Payment was made using Cash.,order tablet order cancel payment make use cash,Negative
ORD200057,Printer,Returned,I ordered a Printer and the order was Returned. Payment was made using Cash.,order printer order return payment make use cash,Negative
ORD200058,Phone,Cancelled,I ordered a Phone and the order was Cancelled. Payment was made using Gift Card.,order phone order cancel payment make use gift card,Negative
ORD200059,Chair,Shipped,I ordered a Chair and the order was Shipped. Payment was made using Online.,order chair order ship payment make use online,Positive
ORD200060,Desk,Returned,I ordered a Desk and the order was Returned. Payment was made using Debit Card.,order desk order return payment make use debit card,Negative
ORD200061,Desk,Delivered,I ordered a Desk and the order was Delivered. Payment was made using Cash.,order desk order deliver payment make use cash,Positive
ORD200063,Chair,Shipped,I ordered a Chair and the order was Shipped. Payment was made using Debit Card.,order chair order ship payment make use debit card,Positive
ORD200064,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Debit Card.,order printer order cancel payment make use debit card,Negative
ORD200065,Monitor,Delivered,I ordered a Monitor and the order was Delivered. Payment was made using Credit Card.,order monitor order deliver payment make use credit card,Positive
ORD200066,Chair,Cancelled,I ordered a Chair and the order was Cancelled. Payment was made using Cash.,order chair order cancel payment make use cash,Negative
ORD200067,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Debit Card.,order printer order cancel payment make use debit card,Negative
ORD200069,Monitor,Shipped,I ordered a Monitor and the order was Shipped. Payment was made using Online.,order monitor order ship payment make use online,Positive
ORD200072,Tablet,Returned,I ordered a Tablet and the order was Returned. Payment was made using Gift Card.,order tablet order return payment make use gift card,Negative
ORD200073,Monitor,Cancelled,I ordered a Monitor and the order was Cancelled. Payment was made using Gift Card.,order monitor order cancel payment make use gift card,Negative
ORD200075,Tablet,Delivered,I ordered a Tablet and the order was Delivered. Payment was made using Debit Card.,order tablet order deliver payment make use debit card,Positive
ORD200076,Laptop,Cancelled,I ordered a Laptop and the order was Cancelled. Payment was made using Cash.,order laptop order cancel payment make use cash,Negative
ORD200077,Phone,Returned,I ordered a Phone and the order was Returned. Payment was made using Credit Card.,order phone order return payment make use credit card,Negative
ORD200078,Printer,Delivered,I ordered a Printer and the order was Delivered. Payment was made using Debit Card.,order printer order deliver payment make use debit card,Positive
ORD200079,Tablet,Shipped,I ordered a Tablet and the order was Shipped. Payment was made using Online.,order tablet order ship payment make use online,Positive
ORD200080,Phone,Returned,I ordered a Phone and the order was Returned. Payment was made using Online.,order phone order return payment make use online,Negative
ORD200081,Monitor,Shipped,I ordered a Monitor and the order was Shipped. Payment was made using Cash.,order monitor order ship payment make use cash,Positive
ORD200082,Tablet,Shipped,I ordered a Tablet and the order was Shipped. Payment was made using Debit Card.,order tablet order ship payment make use debit card,Positive
ORD200083,Laptop,Cancelled,I ordered a Laptop and the order was Cancelled. Payment was made using Credit Card.,order laptop order cancel payment make use credit card,Negative
ORD200084,Monitor,Shipped,I ordered a Monitor and the order was Shipped. Payment was made using Online.,order monitor order ship payment make use online,Positive
ORD200085,Tablet,Delivered,I ordered a Tablet and the order was Delivered. Payment was made using Cash.,order tablet order deliver payment make use cash,Positive
ORD200086,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Online.,order printer order cancel payment make use online,Negative
ORD200087,Tablet,Shipped,I ordered a Tablet and the order was Shipped. Payment was made using Cash.,order tablet order ship payment make use cash,Positive
ORD200088,Desk,Cancelled,I ordered a Desk and the order was Cancelled. Payment was made using Gift Card.,order desk order cancel payment make use gift card,Negative
ORD200089,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Credit Card.,order printer order cancel payment make use credit card,Negative
ORD200090,Chair,Delivered,I ordered a Chair and the order was Delivered. Payment was made using Gift Card.,order chair order deliver payment make use gift card,Positive
ORD200091,Laptop,Shipped,I ordered a Laptop and the order was Shipped. Payment was made using Cash.,order laptop order ship payment make use cash,Positive
ORD200092,Printer,Shipped,I ordered a Printer and the order was Shipped. Payment was made using Online.,order printer order ship payment make use online,Positive
ORD200093,Desk,Returned,I ordered a Desk and the order was Returned. Payment was made using Credit Card.,order desk order return payment make use credit card,Negative
ORD200094,Chair,Returned,I ordered a Chair and the order was Returned. Payment was made using Gift Card.,order chair order return payment make use gift card,Negative
ORD200095,Printer,Returned,I ordered a Printer and the order was Returned. Payment was made using Debit Card.,order printer order return payment make use debit card,Negative
ORD200096,Phone,Delivered,I ordered a Phone and the order was Delivered. Payment was made using Gift Card.,order phone order deliver payment make use gift card,Positive
ORD200099,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Debit Card.,order printer order cancel payment make use debit card,Negative
ORD200100,Phone,Delivered,I ordered a Phone and the order was Delivered. Payment was made using Online.,order phone order deliver payment make use online,Positive
ORD200101,Printer,Shipped,I ordered a Printer and the order was Shipped. Payment was made using Cash.,order printer order ship payment make use cash,Positive
ORD200102,Laptop,Cancelled,I ordered a Laptop and the order was Cancelled. Payment was made using Gift Card.,order laptop order cancel payment make use gift card,Negative
ORD200103,Phone,Cancelled,I ordered a Phone and the order was Cancelled. Payment was made using Credit Card.,order phone order cancel payment make use credit card,Negative
ORD200104,Phone,Delivered,I ordered a Phone and the order was Delivered. Payment was made using Gift Card.,order phone order deliver payment make use gift card,Positive
ORD200105,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Gift Card.,order printer order cancel payment make use gift card,Negative
ORD200106,Desk,Cancelled,I ordered a Desk and the order was Cancelled. Payment was made using Credit Card.,order desk order cancel payment make use credit card,Negative
ORD200107,Printer,Shipped,I ordered a Printer and the order was Shipped. Payment was made using Gift Card.,order printer order ship payment make use gift card,Positive
ORD200108,Laptop,Delivered,I ordered a Laptop and the order was Delivered. Payment was made using Gift Card.,order laptop order deliver payment make use gift card,Positive
ORD200109,Desk,Shipped,I ordered a Desk and the order was Shipped. Payment was made using Gift Card.,order desk order ship payment make use gift card,Positive
ORD200111,Desk,Cancelled,I ordered a Desk and the order was Cancelled. Payment was made using Online.,order desk order cancel payment make use online,Negative
ORD200112,Monitor,Cancelled,I ordered a Monitor and the order was Cancelled. Payment was made using Online.,order monitor order cancel payment make use online,Negative
ORD200113,Laptop,Shipped,I ordered a Laptop and the order was Shipped. Payment was made using Cash.,order laptop order ship payment make use cash,Positive
ORD200115,Phone,Shipped,I ordered a Phone and the order was Shipped. Payment was made using Online.,order phone order ship payment make use online,Positive
ORD200116,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Credit Card.,order printer order cancel payment make use credit card,Negative
ORD200117,Tablet,Cancelled,I ordered a Tablet and the order was Cancelled. Payment was made using Gift Card.,order tablet order cancel payment make use gift card,Negative
ORD200118,Printer,Shipped,I ordered a Printer and the order was Shipped. Payment was made using Gift Card.,order printer order ship payment make use gift card,Positive
ORD200119,Desk,Shipped,I ordered a Desk and the order was Shipped. Payment was made using Debit Card.,order desk order ship payment make use debit card,Positive
ORD200120,Tablet,Cancelled,I ordered a Tablet and the order was Cancelled. Payment was made using Cash.,order tablet order cancel payment make use cash,Negative
ORD200121,Desk,Cancelled,I ordered a Desk and the order was Cancelled. Payment was made using Cash.,order desk order cancel payment make use cash,Negative
ORD200122,Laptop,Shipped,I ordered a Laptop and the order was Shipped. Payment was made using Gift Card.,order laptop order ship payment make use gift card,Positive
ORD200123,Desk,Delivered,I ordered a Desk and the order was Delivered. Payment was made using Online.,order desk order deliver payment make use online,Positive
ORD200125,Phone,Shipped,I ordered a Phone and the order was Shipped. Payment was made using Credit Card.,order phone order ship payment make use credit card,Positive
ORD200126,Desk,Shipped,I ordered a Desk and the order was Shipped. Payment was made using Gift Card.,order desk order ship payment make use gift card,Positive
ORD200127,Desk,Shipped,I ordered a Desk and the order was Shipped. Payment was made using Debit Card.,order desk order ship payment make use debit card,Positive
ORD200128,Tablet,Delivered,I ordered a Tablet and the order was Delivered. Payment was made using Gift Card.,order tablet order deliver payment make use gift card,Positive
ORD200129,Laptop,Shipped,I ordered a Laptop and the order was Shipped. Payment was made using Debit Card.,order laptop order ship payment make use debit card,Positive
ORD200130,Desk,Cancelled,I ordered a Desk and the order was Cancelled. Payment was made using Online.,order desk order cancel payment make use online,Negative
ORD200132,Tablet,Shipped,I ordered a Tablet and the order was Shipped. Payment was made using Credit Card.,order tablet order ship payment make use credit card,Positive
ORD200133,Chair,Cancelled,I ordered a Chair and the order was Cancelled. Payment was made using Debit Card.,order chair order cancel payment make use debit card,Negative
ORD200135,Printer,Shipped,I ordered a Printer and the order was Shipped. Payment was made using Gift Card.,order printer order ship payment make use gift card,Positive
ORD200136,Laptop,Cancelled,I ordered a Laptop and the order was Cancelled. Payment was made using Gift Card.,order laptop order cancel payment make use gift card,Negative
ORD200137,Monitor,Delivered,I ordered a Monitor and the order was Delivered. Payment was made using Credit Card.,order monitor order deliver payment make use credit card,Positive
ORD200139,Phone,Returned,I ordered a Phone and the order was Returned. Payment was made using Cash.,order phone order return payment make use cash,Negative
ORD200140,Chair,Delivered,I ordered a Chair and the order was Delivered. Payment was made using Online.,order chair order deliver payment make use online,Positive
ORD200141,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Cash.,order printer order cancel payment make use cash,Negative
ORD200143,Chair,Shipped,I ordered a Chair and the order was Shipped. Payment was made using Online.,order chair order ship payment make use online,Positive
ORD200145,Printer,Delivered,I ordered a Printer and the order was Delivered. Payment was made using Credit Card.,order printer order deliver payment make use credit card,Positive
ORD200146,Tablet,Returned,I ordered a Tablet and the order was Returned. Payment was made using Credit Card.,order tablet order return payment make use credit card,Negative
ORD200147,Laptop,Cancelled,I ordered a Laptop and the order was Cancelled. Payment was made using Credit Card.,order laptop order cancel payment make use credit card,Negative
ORD200148,Phone,Cancelled,I ordered a Phone and the order was Cancelled. Payment was made using Credit Card.,order phone order cancel payment make use credit card,Negative
ORD200149,Laptop,Delivered,I ordered a Laptop and the order was Delivered. Payment was made using Debit Card.,order laptop order deliver payment make use debit card,Positive
ORD200150,Phone,Returned,I ordered a Phone and the order was Returned. Payment was made using Debit Card.,order phone order return payment make use debit card,Negative
ORD200151,Printer,Returned,I ordered a Printer and the order was Returned. Payment was made using Debit Card.,order printer order return payment make use debit card,Negative
ORD200152,Chair,Cancelled,I ordered a Chair and the order was Cancelled. Payment was made using Cash.,order chair order cancel payment make use cash,Negative
ORD200153,Chair,Returned,I ordered a Chair and the order was Returned. Payment was made using Online.,order chair order return payment make use online,Negative
ORD200155,Phone,Shipped,I ordered a Phone and the order was Shipped. Payment was made using Online.,order phone order ship payment make use online,Positive
ORD200156,Chair,Delivered,I ordered a Chair and the order was Delivered. Payment was made using Online.,order chair order deliver payment make use online,Positive
ORD200157,Monitor,Returned,I ordered a Monitor and the order was Returned. Payment was made using Online.,order monitor order return payment make use online,Negative
ORD200159,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Credit Card.,order printer order cancel payment make use credit card,Negative
ORD200161,Monitor,Cancelled,I ordered a Monitor and the order was Cancelled. Payment was made using Credit Card.,order monitor order cancel payment make use credit card,Negative
ORD200163,Tablet,Cancelled,I ordered a Tablet and the order was Cancelled. Payment was made using Online.,order tablet order cancel payment make use online,Negative
ORD200165,Monitor,Returned,I ordered a Monitor and the order was Returned. Payment was made using Online.,order monitor order return payment make use online,Negative
ORD200166,Chair,Delivered,I ordered a Chair and the order was Delivered. Payment was made using Cash.,order chair order deliver payment make use cash,Positive
ORD200167,Chair,Returned,I ordered a Chair and the order was Returned. Payment was made using Online.,order chair order return payment make use online,Negative
ORD200168,Printer,Returned,I ordered a Printer and the order was Returned. Payment was made using Cash.,order printer order return payment make use cash,Negative
ORD200169,Printer,Delivered,I ordered a Printer and the order was Delivered. Payment was made using Online.,order printer order deliver payment make use online,Positive
ORD200170,Desk,Cancelled,I ordered a Desk and the order was Cancelled. Payment was made using Cash.,order desk order cancel payment make use cash,Negative
ORD200171,Tablet,Delivered,I ordered a Tablet and the order was Delivered. Payment was made using Credit Card.,order tablet order deliver payment make use credit card,Positive
ORD200172,Printer,Delivered,I ordered a Printer and the order was Delivered. Payment was made using Online.,order printer order deliver payment make use online,Positive
ORD200173,Phone,Delivered,I ordered a Phone and the order was Delivered. Payment was made using Online.,order phone order deliver payment make use online,Positive
ORD200174,Printer,Delivered,I ordered a Printer and the order was Delivered. Payment was made using Debit Card.,order printer order deliver payment make use debit card,Positive
ORD200178,Chair,Delivered,I ordered a Chair and the order was Delivered. Payment was made using Online.,order chair order deliver payment make use online,Positive
ORD200179,Laptop,Delivered,I ordered a Laptop and the order was Delivered. Payment was made using Credit Card.,order laptop order deliver payment make use credit card,Positive
ORD200180,Tablet,Returned,I ordered a Tablet and the order was Returned. Payment was made using Cash.,order tablet order return payment make use cash,Negative
ORD200181,Printer,Shipped,I ordered a Printer and the order was Shipped. Payment was made using Online.,order printer order ship payment make use online,Positive
ORD200183,Monitor,Delivered,I ordered a Monitor and the order was Delivered. Payment was made using Debit Card.,order monitor order deliver payment make use debit card,Positive
ORD200184,Tablet,Cancelled,I ordered a Tablet and the order was Cancelled. Payment was made using Gift Card.,order tablet order cancel payment make use gift card,Negative
ORD200185,Laptop,Shipped,I ordered a Laptop and the order was Shipped. Payment was made using Online.,order laptop order ship payment make use online,Positive
ORD200187,Chair,Returned,I ordered a Chair and the order was Returned. Payment was made using Gift Card.,order chair order return payment make use gift card,Negative
ORD200188,Chair,Shipped,I ordered a Chair and the order was Shipped. Payment was made using Gift Card.,order chair order ship payment make use gift card,Positive
ORD200189,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Gift Card.,order printer order cancel payment make use gift card,Negative
ORD200190,Printer,Returned,I ordered a Printer and the order was Returned. Payment was made using Cash.,order printer order return payment make use cash,Negative
ORD200191,Laptop,Cancelled,I ordered a Laptop and the order was Cancelled. Payment was made using Online.,order laptop order cancel payment make use online,Negative
ORD200192,Desk,Cancelled,I ordered a Desk and the order was Cancelled. Payment was made using Gift Card.,order desk order cancel payment make use gift card,Negative
ORD200193,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Cash.,order printer order cancel payment make use cash,Negative
ORD200194,Monitor,Shipped,I ordered a Monitor and the order was Shipped. Payment was made using Cash.,order monitor order ship payment make use cash,Positive
ORD200195,Chair,Cancelled,I ordered a Chair and the order was Cancelled. Payment was made using Debit Card.,order chair order cancel payment make use debit card,Negative
ORD200196,Desk,Delivered,I ordered a Desk and the order was Delivered. Payment was made using Cash.,order desk order deliver payment make use cash,Positive
ORD200197,Laptop,Returned,I ordered a Laptop and the order was Returned. Payment was made using Cash.,order laptop order return payment make use cash,Negative
ORD200198,Laptop,Cancelled,I ordered a Laptop and the order was Cancelled. Payment was made using Cash.,order laptop order cancel payment make use cash,Negative
ORD200199,Phone,Returned,I ordered a Phone and the order was Returned. Payment was made using Online.,order phone order return payment make use online,Negative
ORD200200,Tablet,Delivered,I ordered a Tablet and the order was Delivered. Payment was made using Credit Card.,order tablet order deliver payment make use credit card,Positive
ORD200201,Monitor,Shipped,I ordered a Monitor and the order was Shipped. Payment was made using Online.,order monitor order ship payment make use online,Positive
ORD200202,Monitor,Cancelled,I ordered a Monitor and the order was Cancelled. Payment was made using Credit Card.,order monitor order cancel payment make use credit card,Negative
ORD200203,Printer,Shipped,I ordered a Printer and the order was Shipped. Payment was made using Online.,order printer order ship payment make use online,Positive
ORD200204,Laptop,Cancelled,I ordered a Laptop and the order was Cancelled. Payment was made using Gift Card.,order laptop order cancel payment make use gift card,Negative
ORD200205,Desk,Returned,I ordered a Desk and the order was Returned. Payment was made using Debit Card.,order desk order return payment make use debit card,Negative
ORD200206,Laptop,Returned,I ordered a Laptop and the order was Returned. Payment was made using Gift Card.,order laptop order return payment make use gift card,Negative
ORD200207,Phone,Delivered,I ordered a Phone and the order was Delivered. Payment was made using Debit Card.,order phone order deliver payment make use debit card,Positive
ORD200208,Desk,Shipped,I ordered a Desk and the order was Shipped. Payment was made using Online.,order desk order ship payment make use online,Positive
ORD200209,Tablet,Returned,I ordered a Tablet and the order was Returned. Payment was made using Cash.,order tablet order return payment make use cash,Negative
ORD200210,Chair,Delivered,I ordered a Chair and the order was Delivered. Payment was made using Gift Card.,order chair order deliver payment make use gift card,Positive
ORD200212,Monitor,Cancelled,I ordered a Monitor and the order was Cancelled. Payment was made using Credit Card.,order monitor order cancel payment make use credit card,Negative
ORD200213,Laptop,Cancelled,I ordered a Laptop and the order was Cancelled. Payment was made using Cash.,order laptop order cancel payment make use cash,Negative
ORD200214,Desk,Delivered,I ordered a Desk and the order was Delivered. Payment was made using Online.,order desk order deliver payment make use online,Positive
ORD200215,Printer,Shipped,I ordered a Printer and the order was Shipped. Payment was made using Cash.,order printer order ship payment make use cash,Positive
ORD200216,Monitor,Cancelled,I ordered a Monitor and the order was Cancelled. Payment was made using Online.,order monitor order cancel payment make use online,Negative
ORD200217,Desk,Returned,I ordered a Desk and the order was Returned. Payment was made using Cash.,order desk order return payment make use cash,Negative
ORD200218,Tablet,Shipped,I ordered a Tablet and the order was Shipped. Payment was made using Gift Card.,order tablet order ship payment make use gift card,Positive
ORD200219,Laptop,Delivered,I ordered a Laptop and the order was Delivered. Payment was made using Cash.,order laptop order deliver payment make use cash,Positive
ORD200222,Chair,Shipped,I ordered a Chair and the order was Shipped. Payment was made using Online.,order chair order ship payment make use online,Positive
ORD200224,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Cash.,order printer order cancel payment make use cash,Negative
ORD200225,Phone,Returned,I ordered a Phone and the order was Returned. Payment was made using Debit Card.,order phone order return payment make use debit card,Negative
ORD200226,Desk,Delivered,I ordered a Desk and the order was Delivered. Payment was made using Gift Card.,order desk order deliver payment make use gift card,Positive
ORD200227,Monitor,Cancelled,I ordered a Monitor and the order was Cancelled. Payment was made using Online.,order monitor order cancel payment make use online,Negative
ORD200228,Chair,Cancelled,I ordered a Chair and the order was Cancelled. Payment was made using Credit Card.,order chair order cancel payment make use credit card,Negative
ORD200229,Tablet,Delivered,I ordered a Tablet and the order was Delivered. Payment was made using Credit Card.,order tablet order deliver payment make use credit card,Positive
ORD200230,Desk,Delivered,I ordered a Desk and the order was Delivered. Payment was made using Gift Card.,order desk order deliver payment make use gift card,Positive
ORD200232,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Debit Card.,order printer order cancel payment make use debit card,Negative
ORD200233,Phone,Cancelled,I ordered a Phone and the order was Cancelled. Payment was made using Cash.,order phone order cancel payment make use cash,Negative
ORD200237,Monitor,Shipped,I ordered a Monitor and the order was Shipped. Payment was made using Credit Card.,order monitor order ship payment make use credit card,Positive
ORD200239,Tablet,Shipped,I ordered a Tablet and the order was Shipped. Payment was made using Online.,order tablet order ship payment make use online,Positive
ORD200243,Chair,Cancelled,I ordered a Chair and the order was Cancelled. Payment was made using Online.,order chair order cancel payment make use online,Negative
ORD200244,Desk,Cancelled,I ordered a Desk and the order was Cancelled. Payment was made using Debit Card.,order desk order cancel payment make use debit card,Negative
ORD200245,Laptop,Returned,I ordered a Laptop and the order was Returned. Payment was made using Online.,order laptop order return payment make use online,Negative
ORD200246,Desk,Shipped,I ordered a Desk and the order was Shipped. Payment was made using Gift Card.,order desk order ship payment make use gift card,Positive
ORD200247,Printer,Shipped,I ordered a Printer and the order was Shipped. Payment was made using Gift Card.,order printer order ship payment make use gift card,Positive
ORD200248,Laptop,Shipped,I ordered a Laptop and the order was Shipped. Payment was made using Cash.,order laptop order ship payment make use cash,Positive
ORD200250,Desk,Returned,I ordered a Desk and the order was Returned. Payment was made using Gift Card.,order desk order return payment make use gift card,Negative
ORD200251,Monitor,Cancelled,I ordered a Monitor and the order was Cancelled. Payment was made using Cash.,order monitor order cancel payment make use cash,Negative
ORD200252,Phone,Cancelled,I ordered a Phone and the order was Cancelled. Payment was made using Gift Card.,order phone order cancel payment make use gift card,Negative
ORD200253,Chair,Returned,I ordered a Chair and the order was Returned. Payment was made using Gift Card.,order chair order return payment make use gift card,Negative
ORD200254,Monitor,Delivered,I ordered a Monitor and the order was Delivered. Payment was made using Online.,order monitor order deliver payment make use online,Positive
ORD200255,Monitor,Returned,I ordered a Monitor and the order was Returned. Payment was made using Gift Card.,order monitor order return payment make use gift card,Negative
ORD200256,Chair,Returned,I ordered a Chair and the order was Returned. Payment was made using Gift Card.,order chair order return payment make use gift card,Negative
ORD200257,Phone,Cancelled,I ordered a Phone and the order was Cancelled. Payment was made using Credit Card.,order phone order cancel payment make use credit card,Negative
ORD200258,Tablet,Shipped,I ordered a Tablet and the order was Shipped. Payment was made using Online.,order tablet order ship payment make use online,Positive
ORD200259,Chair,Delivered,I ordered a Chair and the order was Delivered. Payment was made using Credit Card.,order chair order deliver payment make use credit card,Positive
ORD200260,Monitor,Shipped,I ordered a Monitor and the order was Shipped. Payment was made using Debit Card.,order monitor order ship payment make use debit card,Positive
ORD200261,Phone,Delivered,I ordered a Phone and the order was Delivered. Payment was made using Gift Card.,order phone order deliver payment make use gift card,Positive
ORD200262,Phone,Returned,I ordered a Phone and the order was Returned. Payment was made using Credit Card.,order phone order return payment make use credit card,Negative
ORD200264,Tablet,Returned,I ordered a Tablet and the order was Returned. Payment was made using Cash.,order tablet order return payment make use cash,Negative
ORD200265,Printer,Cancelled,I ordered a Printer and the order was Cancelled. Payment was made using Debit Card.,order printer order cancel payment make use debit card,Negative
ORD200266,Chair,Cancelled,I ordered a Chair and the order was Cancelled. Payment was made using Credit Card.,order chair order cancel payment make use credit card,Negative
ORD200267,Chair,Delivered,I ordered a Chair and the order was Delivered. Payment was made using Debit Card.,order chair order deliver payment make use debit card,Positive
ORD200268,Phone,Delivered,I ordered a Phone and the order was Delivered. Payment was made using Debit Card.,order phone order deliver payment make use debit card,Positive
ORD200270,Printer,Shipped,I ordered a Printer and the order was Shipped. Payment was made using Debit Card.,order printer order ship payment make use debit card,Positive
ORD200271,Monitor,Shipped,I ordered a Monitor and the order was Shipped. Payment was made using Cash.,order monitor order ship payment make use cash,Positive
ORD200273,Tablet,Cancelled,I ordered a Tablet and the order was Cancelled. Payment was made using Online.,order tablet order cancel payment make use online,Negative
ORD200274,Phone,Cancelled,I ordered a Phone and the order was Cancelled. Payment was made using Gift Card.,order phone order cancel payment make use gift card,Negative
